구분,시도,시군구,읍면동,전송속도(다운로드),전송속도(업로드),접속성공률(다운로드),접속성공률(업로드),전송성공률(다운로드),전송성공률(업로드),LTE 전환율(다운로드),LTE 전환율(업로드),접속시간(다운로드),접속시간(업로드),평균 지연,평균 손실률
지역,강원도,강릉시,성덕동,943.09,98.62,100,100,100,100,0.00%,0.13%,32.23,31.76,16.25,0
지역,강원도,동해시,송정동,987.49,94.36,100,100,100,100,0.00%,0.00%,29.25,26.59,16.32,0
지역,강원도,삼척시,정라동,1056.64,102.59,100,100,100,100,0.12%,0.12%,33.19,32.11,16.72,0
지역,강원도,속초시,노학동,908.5,87.6,100,100,100,100,1.36%,1.49%,36.44,33.35,20.07,0.02
지역,강원도,원주시,단계동,1053.38,107.83,100,100,100,100,0.00%,0.12%,21.52,25.56,14.71,0
지역,강원도,원주시,명륜2동,1116.07,106.71,100,100,100,100,0.00%,0.00%,28.36,22.25,14.9,0.04
지역,강원도,춘천시,후평1동,1067.37,98.02,100,100,100,100,0.00%,0.00%,34.37,33.98,16.32,0
지역,강원도,춘천시,효자동,1104.87,96.79,100,100,100,100,0.00%,0.00%,28.89,28.48,15.85,0
지역,강원도,태백시,황지동,1070.34,101.93,100,100,100,100,0.00%,0.00%,34.03,27.24,16.6,0.04
지역,강원도,홍천군,홍천읍,505.7,102.89,100,100,100,100,0.92%,0.54%,32.05,37.92,30.49,0.03
지역,강원도,횡성군,공근면,476.76,69.68,100,100,100,100,8.13%,6.86%,53.85,56.33,31.73,0.09
지역,경기도,고양시,백석1동,1104.51,95.65,100,100,100,100,0.12%,0.00%,22.36,20.32,14.58,0
지역,경기도,고양시,주엽2동,1136.61,98.6,100,99.86,100,99.86,0.00%,0.00%,28.28,31.01,14.26,0
지역,경기도,과천시,별양동,998.81,101.97,100,100,100,100,0.00%,0.00%,44.44,40.97,16.19,0.03
지역,경기도,광명시,하안3동,1190.14,110.29,100,100,100,100,0.00%,0.00%,32.78,28.16,12.43,0
지역,경기도,광주시,탄벌동,1031.81,106.58,100,100,100,100,5.45%,5.98%,34.22,35.99,14.97,0.05
지역,경기도,김포시,장기본동,1051.07,86.28,100,100,100,100,0.00%,0.32%,30.41,32.26,14.88,0
지역,경기도,김포시,대곶면,801.45,76.91,100,100,100,100,0.40%,0.84%,38.14,44.8,16.73,0
